"","Plot.ID","Species","n","rel.freq","Class"
"476","RMM9",NA,1,"100%","Canopy"
"477","SL1","Ailanthus",1,"20%","Canopy"
"478","SL1","Tulip poplar",4,"80%","Canopy"
"479","SL10",NA,1,"100%","Canopy"
"480","SL11",NA,1,"100%","Canopy"
"481","SL12","Black oak",1,"17%","Canopy"
"482","SL12","Red maple",1,"17%","Canopy"
"483","SL12","Sweet birch",3,"50%","Canopy"
"484","SL12","Tulip poplar",1,"17%","Canopy"
"485","SL13",NA,1,"100%","Canopy"
"486","SL2","Chestnut oak",1,"20%","Canopy"
"487","SL2","Red oak",1,"20%","Canopy"
"488","SL2","Sweet birch",3,"60%","Canopy"
"489","SL3","Blackgum",3,"38%","Canopy"
"490","SL3","Hickory",1,"12%","Canopy"
"491","SL3","Red maple",1,"12%","Canopy"
"492","SL3","Tulip poplar",1,"12%","Canopy"
"493","SL3","White oak",2,"25%","Canopy"
"494","SL4","Black oak",2,"20%","Canopy"
"495","SL4","Blackgum",1,"10%","Canopy"
"496","SL4","Chestnut oak",2,"20%","Canopy"
"497","SL4","Sweet birch",4,"40%","Canopy"
"498","SL4","Tulip poplar",1,"10%","Canopy"
"499","SL5","Blackgum",1,"17%","Canopy"
"500","SL5","Chestnut oak",1,"17%","Canopy"
"501","SL5","Red oak",1,"17%","Canopy"
"502","SL5","Sweet birch",2,"33%","Canopy"
"503","SL5","Tulip poplar",1,"17%","Canopy"
"504","SL6","Red maple",3,"43%","Canopy"
"505","SL6","Tulip poplar",4,"57%","Canopy"
"506","SL7",NA,1,"100%","Canopy"
"507","SL8","Maple spp.",1,"25%","Canopy"
"508","SL8","Tulip poplar",3,"75%","Canopy"
"509","SL9","Black walnut",2,"67%","Canopy"
"510","SL9","Tulip poplar",1,"33%","Canopy"
"511","SM1",NA,1,"100%","Canopy"
"512","SM10",NA,1,"100%","Canopy"
"513","SM11",NA,1,"100%","Canopy"
"514","SM12",NA,1,"100%","Canopy"
"515","SM13","Red maple",1,"20%","Canopy"
"516","SM13","Tulip poplar",4,"80%","Canopy"
"517","SM14","Black oak",1,"20%","Canopy"
"518","SM14","Chestnut oak",1,"20%","Canopy"
