OBJECTID,Name,FolderPath,SymbolID,AltMode,Base,Snippet,PopupInfo,HasLabel,LabelID,X,Y
229,BN9,Document,0,-1,0,,,-1,0,-78.17130794,38.58824803
230,JM7,Document,0,-1,0,,,-1,0,-78.22566885,38.61222687
231,GS 3,Document,0,-1,0,,,-1,0,-78.172286,38.545508
232,BU 3,Document,0,-1,0,,,-1,0,-78.17728686,38.57716045
233,FL7,Document,0,-1,0,,,-1,0,-78.20299337,38.63256193
234,BA15,Document,0,-1,0,,,-1,0,-78.186519,38.554934
235,BA14,Document,0,-1,0,,,-1,0,-78.18185343,38.55436097
236,FL6,Document,0,-1,0,,,-1,0,-78.20384081,38.63118492
237,RK10,Document,0,-1,0,,,-1,0,-78.222795,38.550032
238,SMS7,Document,0,-1,0,,,-1,0,-78.20095706,38.58259881
239,WM2,Document,0,-1,0,,,-1,0,-78.21703215,38.54522728
240,CR9,Document,0,-1,0,,,-1,0,-78.216074,38.564816
241,QW6,Document,0,-1,0,,,-1,0,-78.19263447,38.57116792
242,RK5,Document,0,-1,0,,,-1,0,-78.219692,38.549409
243,RK12,Document,0,-1,0,,,-1,0,-78.219249,38.551694
244,FL5,Document,0,-1,0,,,-1,0,-78.20706672,38.63029763
245,SMH7,Document,0,-1,0,,,-1,0,-78.19469286,38.59201311
246,WM11,Document,0,-1,0,,,-1,0,-78.208195,38.552167
247,QW9,Document,0,-1,0,,,-1,0,-78.19407052,38.57117772
